Id,Date,WeightKg,WeightPounds,Fat,BMI,IsManualReport,LogId,BMI_describe
8053475328,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
8253242879,4/7/2016 11:59:59 PM,75.5999984741211,166.669466847873,Não informado,29.5499992370605,True,1460073599000.0,Overweight
8378563200,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
8583815059,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
8792009665,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
8877689391,4/1/2016 6:49:40 AM,85.5,188.495234168175,Não informado,25.6100006103516,False,1459493380000.0,Overweight
8877689391,4/4/2016 6:53:43 AM,86.5999984741211,190.920315688223,Não informado,25.9400005340576,False,1459752823000.0,Overweight
8877689391,4/5/2016 6:40:15 AM,86.0,189.5975454791,Não informado,25.7600002288818,False,1459838415000.0,Overweight
8877689391,4/6/2016 6:49:31 AM,86.3000030517578,190.258938993629,Não informado,25.8299999237061,False,1459925371000.0,Overweight
8877689391,4/7/2016 6:15:08 AM,85.0999984741211,187.613381755448,Não informado,25.4899997711182,False,1460009708000.0,Overweight
8877689391,4/8/2016 6:39:44 AM,85.0,187.39292285725,Não informado,25.4400005340576,False,1460097584000.0,Overweight
8877689391,4/9/2016 8:06:12 AM,85.4000015258789,188.274775269977,Não informado,25.5599994659424,False,1460189172000.0,Overweight
8877689391,4/11/2016 6:58:09 AM,86.0999984741211,189.818004377298,Não informado,25.7900009155273,False,1460357889000.0,Overweight
8877689391,4/12/2016 6:47:11 AM,85.8000030517578,189.156627682704,Não informado,25.6800003051758,False,1460443631000.0,Overweight
